State_FIPS,State,Lat,Long
01,AL,34.2248,-87.0092
02,AK,65.5723,-144.8039
04,AZ,32.8676,-109.7927
05,AR,34.7299,-92.3222
06,CA,36.9915,-119.7889
08,CO,39.8019,-105.5142
09,CT,41.6931,-72.7639
10,DE,39.174,-75.5212
11,DC,38.9081,-77.0349
12,FL,27.6648,-81.5158
13,GA,32.1574,-82.9071
15,HI,19.8987,-155.6659
16,ID,44.0682,-114.742
17,IL,40.6331,-89.3985
18,IN,40.5512,-85.6024
19,IA,41.878,-93.0977
20,KS,39.0119,-98.4842
21,KY,37.8393,-84.27
22,LA,30.5191,-91.5209
23,ME,45.2538,-69.4455
24,MD,39.3726,-76.6413
25,MA,42.4072,-71.3824
26,MI,44.3148,-85.6024
27,MN,46.7296,-94.6859
28,MS,32.3547,-89.3985
29,MO,37.9643,-91.8318
30,MT,46.8797,-110.3626
31,NE,41.4925,-99.9018
32,NV,38.8026,-116.4194
33,NH,43.1939,-71.5724
34,NJ,40.0583,-74.4057
35,NM,34.9727,-105.0324
36,NY,40.7128,-74.006
37,NC,35.7596,-79.0193
38,ND,47.5515,-101.002
39,OH,40.4173,-82.9071
40,OK,35.0078,-97.0929
41,OR,43.8041,-120.5542
42,PA,41.2033,-77.1945
44,RI,41.5801,-71.4774
45,SC,33.8361,-81.1637
46,SD,43.9695,-99.9018
47,TN,35.5175,-86.5804
48,TX,31.9686,-99.9018
49,UT,40.7607,-111.8939
50,VT,44.5588,-72.5778
51,VA,37.4316,-78.6569
53,WA,47.7511,-120.7401
54,WV,38.5976,-80.4549
55,WI,43.7844,-88.7879
56,WY,43.076,-107.2903
